Fiscal Year Released,Recidivism Reporting Year,Race-Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Main Supervising District,Release Type,Release type: Paroled to Detainder united,Part of Target Population,Recidivated,Years_till_recidivating
2019.0,2020.0,African-Luo,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Luo,25-34,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Kkuyu,25-34,D Felony,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,Aggravated Misdemeanor,Public Order,Causing obstruction,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Public Order,Escape from lawful custody,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,45-54,C Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Swahili,25-34,Aggravated Misdemeanor,Public Order,Creating disturbance,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,35-44,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Public Order,Escape from lawful custody,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Giriama,35-44,Aggravated Misdemeanor,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Kkuyu,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Luo,Under 25,D Felony,Property,Vandalism,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Kalenjin,25-34,C Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Swahili,25-34,D Felony,Property,Vandalism,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Swahili,35-44,D Felony,Violent,Grievious harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Giriama,55 and Older,Aggravated Misdemeanor,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Kkuyu,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,C Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Luo,25-34,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,45-54,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,D Felony,Property,Vandalism,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,Aggravated Misdemeanor,Public Order,Creating disturbance,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,Aggravated Misdemeanor,Public Order,Causing obstruction,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,35-44,Felony - Enhanced,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,25-34,D Felony,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,45-54,D Felony,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,35-44,Aggravated Misdemeanor,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,25-34,B Felony,Violent,Grievious harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,35-44,D Felony,Violent,Grievious harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,Felony - Enhanced,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,Under 25,Aggravated Misdemeanor,Public Order,Being drunk and disorderly,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,45-54,D Felony,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,45-54,C Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Luo,25-34,Aggravated Misdemeanor,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,Under 25,Aggravated Misdemeanor,Public Order,Being drunk and disorderly,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,Under 25,Aggravated Misdemeanor,Public Order,Being drunk and disorderly,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,Aggravated Misdemeanor,Public Order,Causing obstruction,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Kkuyu,35-44,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,Under 25,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,Aggravated Misdemeanor,Public Order,Creating disturbance,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,35-44,C Felony,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,25-34,D Felony,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,C Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,35-44,Aggravated Misdemeanor,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,C Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Kkuyu,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Luo,Under 25,D Felony,Property,Vandalism,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Swahili,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,Felony - Enhanced,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Kkuyu,35-44,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,25-34,B Felony,Violent,Grievious harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Giriama,35-44,D Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Luo,Under 25,D Felony,Property,Vandalism,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,25-34,B Felony,Violent,Grievious harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Giriama,55 and Older,Aggravated Misdemeanor,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,25-34,D Felony,Public Order,Trafficking in narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Public Order,Escape from lawful custody,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,45-54,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Giriama,35-44,Aggravated Misdemeanor,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,25-34,D Felony,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Kkuyu,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,35-44,Aggravated Misdemeanor,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,35-44,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,25-34,Aggravated Misdemeanor,Public Order,Creating disturbance,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,35-44,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Luo,25-34,Aggravated Misdemeanor,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Luo,25-34,Aggravated Misdemeanor,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,25-34,Aggravated Misdemeanor,Public Order,Creating disturbance,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,35-44,Felony - Enhanced,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Giriama,35-44,Aggravated Misdemeanor,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,25-34,Aggravated Misdemeanor,Public Order,Creating disturbance,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Kkuyu,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Luo,Under 25,D Felony,Property,Vandalism,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2016.0,2018.0,African-Digo,Under 25,Felony,Violent,Assault causing actual bodily harm,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,55 and Older,Misdemeanor,Public Order,Creatng disturbance,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,25-34,D Felony,Property,House breaking and stealing,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,55 and Older,D Felony,Drug,Being in posession of narcotic drugs,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,25-34,D Felony,Drug,Being in posession of  narcotic drugs,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,Under 25,D Felony,Property,Malicious damage to property ,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,45-54, Misdemeanor,Public Order,Being drunk and disorderly,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,45-54,D Felony,Property,Malicious damage to property,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,45-54,Aggravated Misdemeanor,Violent,Assault causing actual bodily harm causing actual bodily harm,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,Under 18,C Felony,Violent,Assault causing actual bodily,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,35-44,Aggravated Misdemeanor,Property,Stealing,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,45-54,Misdemeanor,Public Order,Creatng disturbance,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,Under 25,Aggravated Misdemeanor,Property,Stealing,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,Under 18,D Felony,Violent,Defilement,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,Under 25,D Felony,Drug,Being in posession of narcotic drugs,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,25-34,D Felony,Property,Stealing,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Digo,Under 25,Aggravated Misdemeanor,Violent,Assault causing actual bodily harm causing actual bodily harm,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,25-34,Misdemeanor,Drug,Being in posession of Being in posession of alcoholic drinksic drinks,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,35-44,D Felony,Property,Impersonating a public officer,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,25-34,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,45-54,Misdemeanor,Public Order,Creating disturbance,Mombasa,Community Service Order,Community Service Order,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,Under 25,D Felony,Property,Vandalism,Mombasa,Community Service Order,Community Service Order,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,35-44,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Community Service Order,Community Service Order,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,25-34,Misdemeanor,Drug,Being in posession of narcotic drugs,Mombasa,Community Service Order,Community Service Order,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,35-44,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Community Service Order,Community Service Order,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,35-44,D Felony,Drug,Being in posession of narcotic drugs,Mombasa,Community Service Order,Community Service Order,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,45-54,Aggravated Misdemeanor,Property,Stock Stealing,Mombasa,Community Service Order,Community Service Order,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Community Service Order,Community Service Order,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,Under 18,D Felony,Violent,Indescent act with a child,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,25-34,D Felony,Property,Obtaining by false pretences,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,25-34,D Felony,Property,Obtaining by false pretences,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,25-34,D Felony,Property,Stealing,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,35-44,D Felony,Property,Obtaining by false pretences,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,Under 18,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,35-44,D Felony,Drug,Being in posession of narcotic drugs,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,Under 25,D Felony,Violent,Assault causing actual bodily harm causing actual bodily harm,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Luhya,Under 25,D Felony,Drug,Being in posession of narcotic drugs,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,Under 18,C Felony,Violent,Defilement,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,25-34,C Felony,Violent,Assault,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,25-34,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,25-34,C Felony,Property,Malicious damage to property,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,Under 25,D Felony,Drug,Being in posession of narcotic drugs,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,Under 18,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,35-44,D Felony,Public Order,Creating disturbance,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,Under 25,D Felony,Property,Stealing,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,Under 25,Aggravated Misdemeanor,Violent,Assault causing actual bodily harm,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,45-54,Misdemeanor,Public Order,Creating disturbance,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,25-34,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,25-34,Aggravated Misdemeanor,Violent,Assault causing actual bodily harm,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,45-54,Aggravated Misdemeanor,Drug,Being in posession of narcotic drugs,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,25-34,C Felony,Violent,Assault causing actual bodily harm,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,Under 25,Aggravated Misdemeanor,Property,Stealing,Mombasa,Probation,Probation,Yes,0.0,2.0
2016.0,2018.0,African-Giriama,35-44,Aggravated Misdemeanor,Public Order,Obstructing a police officer,Mombasa,Probation,Probation,Yes,0.0,2.0
